timestamp,status,block_number,tx_index,from,to,value,gas_limit,gas_used,gas_price
"2024-10-04 04:42:41.000",true,51339620,0,"0x1CbbeC856bc647e2D3bC049cDD51c74cd8F4d032","0x00e49a457cC01F980dFf77654696C57b34864a9D",0,27655,27310,25000000001
"2024-10-04 04:42:43.000",true,51339621,0,"0x622661aB4B6aB93c659e751F47eBB0c6e6ad9F48","0xE54Ca86531e17Ef3616d22Ca28b0D458b6C89106",0,600000,184961,32600000001
"2024-10-04 04:42:43.000",false,51339621,1,"0xD29180c882F2B0dE3B5832Fb69Ce5CD187ec896e","0x88de50B233052e4Fb783d4F6db78Cc34fEa3e9FC",9972000000000000000,966656,340071,27000000000
"2024-10-04 04:42:43.000",true,51339621,2,"0xCdE503A662899a6daa3dF0dDAc10CbfCCA1562A9","0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a",0,51724,51331,26825346000
"2024-10-04 04:42:45.000",true,51339622,0,"0x3053371ec553450b3492a6D4160B234022Bd78E9","0x069571BDA2f6Fbb2fEDcF18a7BbdA1014b485818",146966329414800000,436767,432170,25000000000
"2024-10-04 04:42:47.000",false,51339623,0,"0x548500D8eB7e2dcc3331d59dEc4ddCD2C35dA79f","0x1a1ec25DC08e98e5E93F1104B5e5cdD298707d31",0,1650000,64667,27000000000
"2024-10-04 04:42:47.000",true,51339623,1,"0xdBe0B71ab4394D1FCC6F0633E1eba663b25c3393","0x159cfD38DEac6BB7B95aBff3AA42063651c3c6F9",0,175904,116225,26500000000
"2024-10-04 04:42:48.000",true,51339624,0,"0x9aA4B22A616d5cBC6834d3e5Da877D17F93c2B77","0x05c1813EC7BEB8Bf744AC43feA25caFb650AC966",0,3918512,3608440,27500000000
"2024-10-04 04:42:51.000",true,51339625,0,"0xf89d7b9c864f589bbF53a82105107622B35EaA40","0xd402298a793948698b9a63311404FBBEe944eAfD",0,90000,51493,53000000000
"2024-10-04 04:42:51.000",true,51339625,1,"0x622661aB4B6aB93c659e751F47eBB0c6e6ad9F48","0x60aE616a2155Ee3d9A68541Ba4544862310933d4",0,600000,181075,25100000000
"2024-10-04 04:42:53.000",true,51339626,0,"0xFb821dfde8F43ed6fbf970153585038b0b3B49CC","0xe2DC74af81f6D8886607A99bCBb463a842519702",0,500000,138582,27209400000
"2024-10-04 04:42:53.000",true,51339626,1,"0x74B7ccFecDDf0370466A0d56Bd19C1BfD2EA5a7d","0xdCd54f57d21E73c8BB197ee0Fb207690B408dAd7",0,759398,386123,25215452587
"2024-10-04 04:42:54.000",true,51339627,0,"0x6621dcE7471f963F1105c169B500b8573edcDDb3","0x05c1813EC7BEB8Bf744AC43feA25caFb650AC966",0,9938013,3250956,29562499998
"2024-10-04 04:42:54.000",true,51339627,1,"0x9032d6b63560905B89660cfe9DfebC9eD55A5913","0x7f07152cA6bc0a787e93cDa710A0B2Ae7a93fCc6",29909603873200000,21000,21000,26940000000
"2024-10-04 04:42:57.000",true,51339628,0,"0x84ecF7E9aBf09aB50D9120442043E17B05FE7c9B","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,100000,44038,27000000000
"2024-10-04 04:42:57.000",true,51339628,1,"0x941669B22E108DC4e0639527f9f3202E0eB48B44","0x32b3094DcFEC79ae1247EC721362DEAEc5DE73C0",0,56149,55346,25000000001
"2024-10-04 04:42:57.000",true,51339628,2,"0x5fB29283c2cF472B86DB4f74A2B32F9CaF5578a4","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,57038,56232,25000000000
"2024-10-04 04:42:57.000",true,51339628,3,"0x5fB29283c2cF472B86DB4f74A2B32F9CaF5578a4","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,57038,56232,25000000000
"2024-10-04 04:42:59.000",false,51339629,0,"0xD29180c882F2B0dE3B5832Fb69Ce5CD187ec896e","0x88de50B233052e4Fb783d4F6db78Cc34fEa3e9FC",9970000000000000000,783896,282679,27000000000
"2024-10-04 04:42:59.000",true,51339629,1,"0x6E223D2016Dd5674FecFbDb90b7fBF5b15DCf6FE","0x1a1ec25DC08e98e5E93F1104B5e5cdD298707d31",400000000000000000,235419,208373,27000000000
"2024-10-04 04:43:01.000",true,51339630,0,"0xC13fD7748a6885720ceB172Ca36b76E11b626DEc","0x88de50B233052e4Fb783d4F6db78Cc34fEa3e9FC",0,1771467,1254213,26940000000
"2024-10-04 04:43:01.000",true,51339630,1,"0xaeEFA67D820b6c760E5B69Fd6E9FdcD99Fb779B9","0x45A01E4e04F14f7A4a6702c74187c5F6222033cd",20990553600302590,389180,380800,26940000000
"2024-10-04 04:43:01.000",true,51339630,2,"0x02Ef7710B9E2f397f7e9a00354228bcCD041d5d5","0x669b9f4Ba20e1Bc8283dfBD8224acf382a5795A9",0,900000,683868,25000000000
"2024-10-04 04:43:03.000",true,51339631,0,"0x74B7ccFecDDf0370466A0d56Bd19C1BfD2EA5a7d","0xdCd54f57d21E73c8BB197ee0Fb207690B408dAd7",0,832434,422278,25015984017
"2024-10-04 04:43:05.000",true,51339632,0,"0xffB3118124cdaEbD9095fA9a479895042018cac2","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,92964,44050,33500000000
"2024-10-04 04:43:07.000",true,51339633,0,"0xD29180c882F2B0dE3B5832Fb69Ce5CD187ec896e","0x88de50B233052e4Fb783d4F6db78Cc34fEa3e9FC",9970000000000000000,598560,230022,27000000000
"2024-10-04 04:43:07.000",true,51339633,1,"0x941669B22E108DC4e0639527f9f3202E0eB48B44","0x32b3094DcFEC79ae1247EC721362DEAEc5DE73C0",0,56149,55346,25000000001
"2024-10-04 04:43:07.000",true,51339633,2,"0xFa19ffF5E1043A93C2748C4fd754A3E1a7BaA1EB","0x069571BDA2f6Fbb2fEDcF18a7BbdA1014b485818",48988776471600000,324879,321163,25000000000
"2024-10-04 04:43:08.000",true,51339634,0,"0x555CE236C0220695b68341bc48C68d52210cC35b","0xE7351Fd770A37282b91D153Ee690B63579D6dd7f",0,207756,168125,120997980141
"2024-10-04 04:43:11.000",true,51339635,0,"0x13DCf02E00fd9bd58149be02d707ac4B71084Db5","0xd402298a793948698b9a63311404FBBEe944eAfD",0,150000,34405,30000000000
"2024-10-04 04:43:11.000",true,51339635,1,"0x574A2f48049D962cF2e66d4381823Af93817Cd81","0x33d7F4AdBB4Dca1bF1f96469C4246411293387f3",0,500000,138786,27000000000
"2024-10-04 04:43:11.000",true,51339635,2,"0xD9602E0b4c4aCf16850F90037bbaFf66D4Cb7012","0x4Dae2f939ACf50408e13d58534Ff8c2776d45265",0,208681,171703,27000000000
"2024-10-04 04:43:11.000",true,51339635,3,"0xA774148aF9196E32808b3105C2dCc80c1fC71445","0x18556DA13313f3532c54711497A8FedAC273220E",0,261315,254932,26500000000
"2024-10-04 04:43:11.000",true,51339635,4,"0x7e093BA1474b79481f9B87D66c99a819F25e82E2","0x22aEf7959917A689a0bA211800059DbD6c636f5e",0,564685,461849,25000000002
"2024-10-04 04:43:13.000",true,51339636,0,"0x3BCE63C6C9ABf7A47f52c9A3a7950867700B0158","0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7",0,61596,61126,28000000000
"2024-10-04 04:43:13.000",true,51339636,1,"0xE2d6aF3Ab1DF5d2a17B456DEDeBb56a2C673CE3d","0x069571BDA2f6Fbb2fEDcF18a7BbdA1014b485818",195955105886400000,484113,479143,25000000000
"2024-10-04 04:43:13.000",true,51339636,2,"0xa6064a46EC36279c92b8Fe1cAecCDb127FCab4eb","0x069571BDA2f6Fbb2fEDcF18a7BbdA1014b485818",24494388235800000,299992,296472,25000000000
"2024-10-04 04:43:15.000",true,51339637,0,"0x995BE1CA945174D5bA75410C1E658a41eB13a2FA","0x6203c968Ae2C15a562C53E0258FCB62e8139BD3E",0,300000,59498,30974372455
"2024-10-04 04:43:15.000",true,51339637,1,"0x77700088E9aCD7afB343fbBEB3903DBE78015A0e","0x41721b7585a42dC50E12dafCA298Fe223Da02b4c",0,1065000,463775,30974372455
"2024-10-04 04:43:15.000",true,51339637,2,"0x5CA1A731CdB104D15b04EDED70f9Df8654956BfC","0x3c11F6265Ddec22f4d049Dde480615735f451646",500000000000000000,383028,263738,29700000000
"2024-10-04 04:43:15.000",true,51339637,3,"0xdBe0B71ab4394D1FCC6F0633E1eba663b25c3393","0x159cfD38DEac6BB7B95aBff3AA42063651c3c6F9",0,165279,107159,26500000000
"2024-10-04 04:43:15.000",true,51339637,4,"0x10720A058973A31F433f281F3d1906b2b9ccDe87","0xef0cdae2FfEEeFA539a244a16b3f46ba75b8c810",0,34873,34514,26500000000
"2024-10-04 04:43:16.000",true,51339638,0,"0xbD8679cf79137042214fA4239b02F4022208EE82","0x2A375567f5E13F6bd74fDa7627Df3b1Af6BfA5a6",0,300000,47741,60643719427
